<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GDAX.BTC-USD 60 20210322 190000 57018.7500000 57236.4300000 56918.7200000 57105.1000000 534
GDAX.BTC-USD 60 20210322 200000 57107.8900000 57225.5300000 56215.0000000 56794.3500000 1091
GDAX.BTC-USD 60 20210322 210000 56793.1100000 57203.5900000 56577.9900000 57081.5300000 559
GDAX.BTC-USD 60 20210322 220000 57092.5100000 57190.0000000 56315.2300000 56486.7400000 641
GDAX.BTC-USD 60 20210322 230000 56478.1400000 56548.0600000 55555.0000000 55565.6800000 1767
GDAX.BTC-USD 60 20210323 000000 55564.0000000 56011.3100000 54211.0000000 54558.7900000 2174
GDAX.BTC-USD 60 20210323 010000 54558.6600000 54990.0000000 54349.3000000 54581.0400000 1926
GDAX.BTC-USD 60 20210323 020000 54580.1500000 54676.3100000 53739.5000000 54620.0000000 2283
GDAX.BTC-USD 60 20210323 030000 54620.0000000 54900.0000000 54088.0000000 54110.0700000 1247
GDAX.BTC-USD 60 20210323 040000 54111.4900000 54793.9200000 53812.0000000 54722.9300000 1101
GDAX.BTC-USD 60 20210323 050000 54723.8000000 55396.9500000 54546.4200000 55158.4900000 1002
GDAX.BTC-USD 60 20210323 060000 55167.6000000 55200.0000000 54429.6600000 54553.0700000 603
GDAX.BTC-USD 60 20210323 070000 54562.1200000 54731.3300000 54375.5300000 54702.5500000 451
GDAX.BTC-USD 60 20210323 080000 54702.5500000 54792.8400000 54062.4400000 54461.4300000 539
GDAX.BTC-USD 60 20210323 090000 54461.4200000 54483.2900000 53141.9100000 53543.9000000 1643
GDAX.BTC-USD 60 20210323 100000 53544.1700000 53772.5300000 53000.0000000 53311.9200000 1103
GDAX.BTC-USD 60 20210323 110000 53311.1300000 54293.6000000 53310.9000000 54168.7200000 608
GDAX.BTC-USD 60 20210323 120000 54176.7000000 54493.9900000 53827.6300000 54330.6500000 453
GDAX.BTC-USD 60 20210323 130000 54329.3700000 54700.7800000 54241.6500000 54609.6800000 345
GDAX.BTC-USD 60 20210323 140000 54609.6800000 54817.2900000 54449.7300000 54678.2400000 343
GDAX.BTC-USD 60 20210323 150000 54678.2500000 54812.0500000 54100.0000000 54249.2600000 488
GDAX.BTC-USD 60 20210323 160000 54249.2600000 55246.8500000 54231.0900000 55147.4500000 639
GDAX.BTC-USD 60 20210323 170000 55148.0900000 55478.4200000 54998.6800000 55276.8000000 1340
GDAX.BTC-USD 60 20210323 180000 55274.7000000 55367.5800000 54650.0000000 55169.3500000 1332
GDAX.BTC-USD 60 20210323 190000 55171.4900000 55352.1600000 54938.4300000 55172.8800000 835
GDAX.BTC-USD 60 20210323 200000 55182.4000000 55750.0000000 54823.2300000 55538.9900000 855
GDAX.BTC-USD 60 20210323 210000 55538.9900000 55798.7700000 55430.0000000 55735.8100000 965
GDAX.BTC-USD 60 20210323 220000 55731.5400000 55858.0000000 55302.6400000 55360.4900000 965
GDAX.BTC-USD 60 20210323 230000 55360.4900000 55554.7500000 54816.4700000 55030.5300000 1163
GDAX.BTC-USD 60 20210324 000000 55019.6000000 55093.6600000 54300.6100000 54451.0600000 798
GDAX.BTC-USD 60 20210324 010000 54452.7900000 54738.9600000 54179.9800000 54654.0100000 632
GDAX.BTC-USD 60 20210324 020000 54654.0200000 54903.0000000 54363.1300000 54396.3700000 507
GDAX.BTC-USD 60 20210324 030000 54400.6300000 54828.3900000 54302.6800000 54345.5400000 506
GDAX.BTC-USD 60 20210324 040000 54333.2700000 54680.0000000 53586.2000000 53701.0000000 1011
GDAX.BTC-USD 60 20210324 050000 53701.0000000 54565.1700000 53527.0000000 54464.1100000 685
GDAX.BTC-USD 60 20210324 060000 54464.1100000 54616.0000000 54350.0100000 54412.0800000 394
GDAX.BTC-USD 60 20210324 070000 54414.5400000 54738.0000000 54047.4800000 54341.4100000 538
GDAX.BTC-USD 60 20210324 080000 54339.2300000 54557.7100000 53972.6400000 54106.5400000 496
GDAX.BTC-USD 60 20210324 090000 54106.5400000 54274.1900000 53741.7400000 54119.4100000 340
GDAX.BTC-USD 60 20210324 100000 54119.4100000 55000.0000000 53733.0000000 54657.2700000 489
GDAX.BTC-USD 60 20210324 110000 54657.2700000 55591.0200000 54624.8300000 55456.6600000 1049
GDAX.BTC-USD 60 20210324 120000 55456.5300000 56368.9900000 55452.3200000 56301.8200000 1345
GDAX.BTC-USD 60 20210324 130000 56312.1800000 56666.6700000 56308.8300000 56391.6800000 668
GDAX.BTC-USD 60 20210324 140000 56391.6800000 56596.9900000 56024.5000000 56465.1300000 564
GDAX.BTC-USD 60 20210324 150000 56465.1300000 56647.3600000 56290.0000000 56588.5800000 663
GDAX.BTC-USD 60 20210324 160000 56581.6800000 57060.0700000 56581.6800000 56917.1900000 967
GDAX.BTC-USD 60 20210324 170000 56927.3700000 57209.9700000 56369.0200000 56785.9700000 1081
GDAX.BTC-USD 60 20210324 180000 56785.9700000 56931.4900000 56430.0000000 56516.4800000 864
GDAX.BTC-USD 60 20210324 190000 56516.4900000 56632.6300000 56002.4400000 56261.3700000 985
GDAX.BTC-USD 60 20210324 200000 56261.3700000 56386.2200000 55706.9200000 55731.8700000 983
GDAX.BTC-USD 60 20210324 210000 55731.8700000 56373.3600000 55555.5600000 56122.0100000 669
GDAX.BTC-USD 60 20210324 220000 56122.0000000 56335.9400000 55310.0000000 55328.4700000 1001
GDAX.BTC-USD 60 20210324 230000 55328.4700000 55527.6600000 54600.0000000 54681.1800000 1095
GDAX.BTC-USD 60 20210325 000000 54681.1800000 54681.1800000 53147.5700000 54044.9800000 2423
GDAX.BTC-USD 60 20210325 010000 54037.4900000 54219.1300000 53541.9900000 53723.7300000 930
GDAX.BTC-USD 60 20210325 020000 53723.7200000 53723.7300000 51673.8200000 52520.7600000 3222
GDAX.BTC-USD 60 20210325 030000 52518.8500000 52950.0000000 52214.0000000 52276.1600000 1299
GDAX.BTC-USD 60 20210325 040000 52259.6900000 52777.0000000 52020.1200000 52613.8900000 1129
GDAX.BTC-USD 60 20210325 050000 52606.9600000 52755.0900000 51716.5300000 51796.0900000 1378
GDAX.BTC-USD 60 20210325 060000 51820.4500000 52555.7700000 51500.0000000 52230.8100000 1692
GDAX.BTC-USD 60 20210325 070000 52230.8000000 52561.3400000 51816.5500000 52109.2700000 984
GDAX.BTC-USD 60 20210325 080000 52109.2700000 52480.3300000 51888.0500000 52239.6400000 630
GDAX.BTC-USD 60 20210325 090000 52239.6300000 52843.9900000 52128.1500000 52688.5600000 563
GDAX.BTC-USD 60 20210325 100000 52688.6200000 53238.0000000 52658.4800000 52953.5200000 585
GDAX.BTC-USD 60 20210325 110000 52953.5200000 53110.6600000 52205.9200000 52246.9100000 625
GDAX.BTC-USD 60 20210325 120000 52246.9100000 52783.1800000 52066.6200000 52603.8600000 645
GDAX.BTC-USD 60 20210325 130000 52603.8600000 53027.0000000 52350.0100000 52948.1000000 448
GDAX.BTC-USD 60 20210325 140000 52950.3800000 53058.0000000 52524.8600000 52970.5100000 506
GDAX.BTC-USD 60 20210325 150000 52963.6900000 53144.4300000 52116.8200000 52136.3100000 1081
GDAX.BTC-USD 60 20210325 160000 52140.4800000 52311.0000000 50305.0000000 51067.8500000 3532
GDAX.BTC-USD 60 20210325 170000 51068.3400000 52007.9800000 50415.9800000 51672.7800000 4204
GDAX.BTC-USD 60 20210325 180000 51672.7700000 52080.0000000 51047.3700000 51300.0000000 1784
GDAX.BTC-USD 60 20210325 190000 51299.9900000 51520.2500000 50625.5900000 50983.8200000 2027
GDAX.BTC-USD 60 20210325 200000 50996.6900000 51699.7900000 50548.2200000 51319.9600000 1751
GDAX.BTC-USD 60 20210325 210000 51325.6500000 51808.3900000 51126.0100000 51627.1100000 1027
GDAX.BTC-USD 60 20210325 220000 51626.7200000 52532.4100000 51501.5100000 52236.8800000 1165
GDAX.BTC-USD 60 20210325 230000 52233.5500000 52312.6400000 51626.2500000 52209.0500000 864
GDAX.BTC-USD 60 20210326 000000 52209.0500000 52704.2300000 51851.0800000 52000.0000000 786
GDAX.BTC-USD 60 20210326 010000 52000.0000000 52600.0000000 51971.1200000 52447.3700000 498
GDAX.BTC-USD 60 20210326 020000 52447.3700000 52757.1500000 51622.0000000 51759.9900000 806
GDAX.BTC-USD 60 20210326 030000 51759.9900000 52054.4400000 51235.2500000 51325.0100000 922
GDAX.BTC-USD 60 20210326 040000 51320.7600000 52285.8500000 51250.0000000 52102.6900000 701
GDAX.BTC-USD 60 20210326 050000 52096.3800000 52367.5600000 51978.9800000 52283.5500000 391
GDAX.BTC-USD 60 20210326 060000 52283.7200000 52398.7200000 51553.6800000 51694.8600000 506
GDAX.BTC-USD 60 20210326 070000 51704.1500000 52728.2800000 51696.3900000 52428.8200000 568
GDAX.BTC-USD 60 20210326 080000 52428.6100000 52788.8100000 52200.0000000 52725.6600000 507
GDAX.BTC-USD 60 20210326 090000 52735.4600000 52946.7900000 52521.0400000 52849.9800000 430
GDAX.BTC-USD 60 20210326 100000 52849.9900000 52899.1400000 52489.8300000 52602.1500000 306
GDAX.BTC-USD 60 20210326 110000 52602.1600000 53701.3000000 52420.0000000 53651.2500000 1446
GDAX.BTC-USD 60 20210326 120000 53651.2500000 53983.7500000 53192.2000000 53412.7900000 1288
GDAX.BTC-USD 60 20210326 130000 53412.7900000 53660.4800000 53260.0000000 53348.5300000 491
GDAX.BTC-USD 60 20210326 140000 53348.5400000 53612.8900000 53215.5100000 53400.8900000 405
GDAX.BTC-USD 60 20210326 150000 53404.6200000 53470.9200000 52584.0100000 52713.8700000 539
GDAX.BTC-USD 60 20210326 160000 52728.1300000 53249.0000000 52534.1100000 53024.6900000 569
GDAX.BTC-USD 60 20210326 170000 53024.6900000 53366.7700000 52777.0000000 53366.7700000 674
GDAX.BTC-USD 60 20210326 180000 53362.4100000 53541.6700000 53148.3500000 53462.2900000 772
GDAX.BTC-USD 60 20210326 190000 53462.2900000 53575.0000000 53234.6500000 53326.5200000 1416
GDAX.BTC-USD 60 20210326 200000 53327.2800000 54096.2700000 52910.0000000 53827.1000000 1648
GDAX.BTC-USD 60 20210326 210000 53827.1000000 54001.7000000 53559.6100000 53886.7200000 845
GDAX.BTC-USD 60 20210326 220000 53894.2400000 53994.6100000 53530.0000000 53728.9900000 720
GDAX.BTC-USD 60 20210326 230000 53729.2600000 53893.0000000 53600.0000000 53839.1300000 521
GDAX.BTC-USD 60 20210327 000000 53846.7600000 54322.2500000 53844.5900000 54006.5400000 988
GDAX.BTC-USD 60 20210327 010000 54008.1500000 54640.8400000 54006.5600000 54630.4300000 649
GDAX.BTC-USD 60 20210327 020000 54630.0000000 54846.9500000 54402.3400000 54431.3200000 753
GDAX.BTC-USD 60 20210327 030000 54431.3200000 55125.1300000 54363.1600000 55072.4400000 700
GDAX.BTC-USD 60 20210327 040000 55080.9000000 55658.9400000 54755.0000000 54779.6100000 1114
GDAX.BTC-USD 60 20210327 050000 54780.0000000 55039.5900000 54610.9100000 54714.7500000 631
GDAX.BTC-USD 60 20210327 060000 54714.6500000 54940.8500000 54534.5100000 54789.3700000 274
GDAX.BTC-USD 60 20210327 070000 54789.3700000 54872.6200000 54598.7100000 54795.7600000 283
GDAX.BTC-USD 60 20210327 080000 54802.6500000 55256.7100000 54680.0100000 54997.6000000 412
GDAX.BTC-USD 60 20210327 090000 54997.5900000 55380.0000000 54736.2800000 55212.2900000 285
GDAX.BTC-USD 60 20210327 100000 55219.3100000 55306.3200000 54989.7000000 55058.2700000 330
GDAX.BTC-USD 60 20210327 110000 55055.8100000 55100.0000000 54515.3400000 54971.0600000 408
GDAX.BTC-USD 60 20210327 120000 54964.5500000 55152.8100000 54674.1700000 54942.5100000 360
GDAX.BTC-USD 60 20210327 130000 54935.1800000 55047.1000000 54804.9300000 55045.6500000 156
GDAX.BTC-USD 60 20210327 140000 55045.6500000 55127.0000000 54685.0100000 54693.4600000 271
GDAX.BTC-USD 60 20210327 150000 54697.9700000 54824.9300000 54329.9200000 54458.9000000 380
GDAX.BTC-USD 60 20210327 160000 54458.6500000 54605.2900000 53966.0000000 54297.2700000 483
GDAX.BTC-USD 60 20210327 170000 54290.5700000 54848.5100000 54071.0000000 54759.6100000 427
GDAX.BTC-USD 60 20210327 180000 54761.7800000 54786.7200000 54404.8800000 54661.2000000 499
GDAX.BTC-USD 60 20210327 190000 54658.3200000 55080.9000000 54531.8400000 54980.9900000 531
GDAX.BTC-USD 60 20210327 200000 54980.9800000 56222.0000000 54971.3300000 56186.1500000 1177
GDAX.BTC-USD 60 20210327 210000 56185.8600000 56300.0000000 55822.9100000 56110.9900000 740
GDAX.BTC-USD 60 20210327 220000 56110.9900000 56111.0000000 55578.2000000 55749.8100000 467
GDAX.BTC-USD 60 20210327 230000 55749.8200000 55930.6500000 55655.0300000 55802.7500000 290
GDAX.BTC-USD 60 20210328 000000 55802.7500000 55944.8800000 55719.4500000 55900.1000000 331
